Region,City,AreaName,BlockNo.,LotNo.,Classification,DealDate,DealNo.,AreaInSquareMeters,PricePerSquareMeters,DealPrice
منطقة الرياض,الارطاوي,حي/أخرى,مخطط/أخرى, قطعة 45,تجاري,1/9/2019,7658528,330250,0.2997,99000
منطقة الرياض,الارطاوي,حي/أخرى,مخطط/أخرى, قطعة ق ط ع هـ,تجاري,1/9/2019,7665577,75000,1.32,99000
منطقة الرياض,الافلاج,حي/غرب ليلى على طريق الأحمر,مخطط/74, قطعة 21,تجاري,1/28/2019,8037072,50000,2,100000
منطقة الرياض,البديع الجنوبي,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/14/2019,7959173,1421007,0.0351,50000
منطقة الرياض,البديع الجنوبي,حي/أخرى,مخطط/أخرى, قطعة 8,تجاري,1/21/2019,8008329,50000,1,50000
منطقة الرياض,الخرج,حي/أخرى,مخطط/أخرى, قطعة 1,تجاري,1/24/2019,8027954,64000,0.4687,30000
منطقة الرياض,الخرج,حي/أخرى,مخطط/أخرى, قطعة 2,تجاري,1/13/2019,7976251,51947.17,22.1378,1150000
منطقة الرياض,الخرج,حي/أخرى,مخطط/أخرى, قطعة 4,تجاري,1/29/2019,8043005,41450,22.9799,952520
منطقة الرياض,الخرج,حي/أخرى,مخطط/أخرى, قطعة 89,تجاري,1/1/2019,7936025,50000,3.43,171500
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/24 فى/ 14/ 4/ 1429, قطعة 3,تجاري,1/1/2019,7933565,10000,307.5,3075000
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/24 فى/ 14/ 4/ 1429, قطعة 4,تجاري,1/1/2019,7933500,10000,307.5,3075000
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/24 فى/ 14/ 4/ 1429, قطعة 41,تجاري,1/1/2019,7933298,10199.98,307.5,3136494
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25, قطعة 141,تجاري,1/2/2019,7937281,12861.19,235.75,3032026
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25, قطعة 45,تجاري,1/3/2019,7940979,10060.88,420.25,4228085
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25, قطعة 46,تجاري,1/3/2019,7940988,10039.94,420.25,4219285
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25, قطعة 47,تجاري,1/3/2019,7940999,10048.72,420.25,4222975
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25 فى 14/ 4/ 1429, قطعة 48,تجاري,1/2/2019,7937380,10056.68,420.25,4226320
منطقة الرياض,الدرعيه,حي/العمارية,مخطط/25 فى 14/ 4/ 1429, قطعة 49,تجاري,1/2/2019,7937132,10127.78,420.25,4256200
